Main.Study.t Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Fx Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Fy Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Fz Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Mx Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_My Main.Model.OutputFolder.ExoHumanInteractions.Pelvis_Mz Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Fx Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Fy Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Fz Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Mx Main.Model.OutputFolder.ExoHumanInteractions.Thigh_My Main.Model.OutputFolder.ExoHumanInteractions.Thigh_Mz Main.Model.OutputFolder.ExoHumanInteractions.Shank_Fx Main.Model.OutputFolder.ExoHumanInteractions.Shank_Fy Main.Model.OutputFolder.ExoHumanInteractions.Shank_Fz Main.Model.OutputFolder.ExoHumanInteractions.Shank_Mx Main.Model.OutputFolder.ExoHumanInteractions.Shank_My Main.Model.OutputFolder.ExoHumanInteractions.Shank_Mz Main.Model.OutputFolder.ExoHumanInteractions.Foot_Fx Main.Model.OutputFolder.ExoHumanInteractions.Foot_Fy Main.Model.OutputFolder.ExoHumanInteractions.Foot_Fz Main.Model.OutputFolder.ExoHumanInteractions.Foot_Mx Main.Model.OutputFolder.ExoHumanInteractions.Foot_My Main.Model.OutputFolder.ExoHumanInteractions.Foot_Mz
3.3333333333e-01 5.9441096560e+01 0.0000000000e+00 -5.2858252679e-04 1.1772402477e-04 8.3642892737e-07 3.2472709586e+01 1.6444338849e+02 0.0000000000e+00 3.1896877134e+01 -4.9067642584e+01 -7.1696771276e+01 -4.7448994921e+01 -1.0711895286e+02 0.0000000000e+00 4.2100490256e+01 -4.1566119626e+01 6.6579757640e+01 1.9232448203e+01 4.3762989038e+01 1.6473410770e+02 4.3894981961e+01 -3.1187673125e+00 7.4186874361e+00 -1.5635485424e+00
3.6666666667e-01 5.8453635511e+01 0.0000000000e+00 -5.0117734256e-04 1.1981806520e-04 5.4830133081e-06 3.2012089436e+01 1.6437914516e+02 0.0000000000e+00 3.1375554646e+01 -4.8301460663e+01 -7.2520859643e+01 -4.6743552254e+01 -1.0786435123e+02 0.0000000000e+00 4.1658872268e+01 -4.1484931018e+01 6.7036614181e+01 1.9830476085e+01 4.2069004613e+01 1.6508135590e+02 4.3446995870e+01 -3.2037626238e+00 7.5915117381e+00 -1.5853440255e+00
4.0000000000e-01 5.7484547967e+01 0.0000000000e+00 -4.9939797075e-04 1.5273625594e-04 2.3206435815e-05 3.1547923995e+01 1.6433963843e+02 0.0000000000e+00 3.0836389387e+01 -4.7499151651e+01 -7.3346613917e+01 -4.6028372359e+01 -1.0862013821e+02 0.0000000000e+00 4.1131113908e+01 -4.1209519934e+01 6.7410605987e+01 2.0416731078e+01 4.0350167151e+01 1.6549950395e+02 4.2893212998e+01 -3.2865959968e+00 7.7592769493e+00 -1.6048128344e+00
4.3333333333e-01 5.6529381257e+01 0.0000000000e+00 -6.3111649175e-04 3.1454172285e-04 1.3588741793e-04 3.1079929619e+01 1.6432365057e+02 0.0000000000e+00 3.0229223183e+01 -4.6577765342e+01 -7.4039720509e+01 -4.5279519333e+01 -1.0938409353e+02 0.0000000000e+00 4.0514019563e+01 -4.0835328228e+01 6.7662401224e+01 2.1015597890e+01 3.8609723543e+01 1.6598987062e+02 4.2244474023e+01 -3.3681024204e+00 7.9210026129e+00 -1.6203925035e+00
4.6666666667e-01 5.5595839209e+01 0.0000000000e+00 -3.3276921995e-04 5.1219401794e-05 -1.2491528417e-04 3.0609219778e+01 1.6433491276e+02 0.0000000000e+00 2.9696618528e+01 -4.5770256855e+01 -7.4993394010e+01 -4.4570816559e+01 -1.1015814304e+02 0.0000000000e+00 4.0020627151e+01 -4.0615532367e+01 6.8171478598e+01 2.1691847104e+01 3.6846043975e+01 1.6654769664e+02 4.1726215710e+01 -3.4578560574e+00 8.0981433700e+00 -1.6315955539e+00
5.0000000000e-01 5.4684034239e+01 0.0000000000e+00 -3.3472416376e-04 8.5869031908e-05 -7.7202021639e-05 3.0135958869e+01 1.6437076931e+02 0.0000000000e+00 2.9153283528e+01 -4.4935247453e+01 -7.5992255054e+01 -4.3861139010e+01 -1.1093937023e+02 0.0000000000e+00 3.9529049248e+01 -4.0410971475e+01 6.8732229160e+01 2.2410526181e+01 3.5059564480e+01 1.6717740750e+02 4.1209654641e+01 -3.5491183633e+00 8.2745973921e+00 -1.6359784859e+00
5.3333333333e-01 5.3794471267e+01 0.0000000000e+00 -2.9640197456e-04 7.4440466485e-05 -9.6878727117e-05 2.9660317197e+01 1.6442772011e+02 0.0000000000e+00 2.8504132595e+01 -4.3920370710e+01 -7.6708162908e+01 -4.3095481679e+01 -1.1172401385e+02 0.0000000000e+00 3.8886115405e+01 -4.0023251548e+01 6.9019084019e+01 2.3122303906e+01 3.3249232534e+01 1.6788523215e+02 4.0532428170e+01 -3.6317821005e+00 8.4265262507e+00 -1.6311444123e+00
5.6666666667e-01 5.2935934362e+01 0.0000000000e+00 -2.5696029390e-04 6.1106078585e-05 -1.1310708626e-04 2.9183413401e+01 1.6450985022e+02 0.0000000000e+00 2.7881861145e+01 -4.2941056077e+01 -7.7530227395e+01 -4.2343520049e+01 -1.1251447921e+02 0.0000000000e+00 3.8289043797e+01 -3.9685668544e+01 6.9398686059e+01 2.3886377410e+01 3.1412607394e+01 1.6866759786e+02 3.9902392928e+01 -3.7145281041e+00 8.5733379513e+00 -1.6159368530e+00
6.0000000000e-01 5.2108150565e+01 0.0000000000e+00 -2.1141013068e-04 6.2540119403e-05 -1.5665921695e-04 2.8705252461e+01 1.6461639300e+02 0.0000000000e+00 2.7231728062e+01 -4.1905381279e+01 -7.8339176446e+01 -4.1581869063e+01 -1.1330922298e+02 0.0000000000e+00 3.7684524887e+01 -3.9369028781e+01 6.9791337918e+01 2.4694710539e+01 2.9549702679e+01 1.6952810388e+02 3.9267266983e+01 -3.7943968634e+00 8.7072229164e+00 -1.5881776630e+00
6.3333333333e-01 5.1318635235e+01 0.0000000000e+00 -1.7073275021e-04 4.7907268505e-05 -1.7964838242e-04 2.8226733434e+01 1.6474726512e+02 0.0000000000e+00 2.6568157527e+01 -4.0839250432e+01 -7.9126605113e+01 -4.0811467417e+01 -1.1410714193e+02 0.0000000000e+00 3.7063346265e+01 -3.9022108866e+01 7.0150231278e+01 2.5536201651e+01 2.7656548352e+01 1.7046966477e+02 3.8612855765e+01 -3.8677083046e+00 8.8197501666e+00 -1.5456232036e+00
6.6666666667e-01 5.0572494421e+01 0.0000000000e+00 -1.5999957037e-04 6.5189410512e-05 -1.5431332249e-04 2.7748436234e+01 1.6490269490e+02 0.0000000000e+00 2.5892682834e+01 -3.9746158182e+01 -7.9873091042e+01 -4.0029526601e+01 -1.1490726920e+02 0.0000000000e+00 3.6425003970e+01 -3.8640010015e+01 7.0452821861e+01 2.6410585446e+01 2.5730187423e+01 1.7149532665e+02 3.7938874168e+01 -3.9321437870e+00 8.9050108555e+00 -1.4860672324e+00
